title,video_type,duration_sec,view_count,like_count,comment_count,published_at,video_id
O-Shan-Tee 🎶#TravisJapan #OShanTee #宮近海斗 #松田元太,Shorts,19.0,398116,14550,125,2026-02-11T09:34:18Z,stZL7m3PXAI
オシャンティ🫰#TravisJapan #OShanTee #川島如恵留 #中村海人 #吉澤閑也,Shorts,23.0,137655,9645,127,2026-02-11T09:32:00Z,RmpfZG3Kv-I
おしゃんてぃ先輩(((o(*ﾟ▽ﾟ*)o)))♡#TravisJapan #OshanTee #松倉海斗 #Machu,Shorts,19.0,116856,9108,124,2026-02-11T09:31:01Z,NNL10OaRnNU
O-Shan-Tee🕶️ #TravisJapan #OShanTee #七五三掛龍也 #松倉海斗,Shorts,22.0,148313,10318,125,2026-02-11T09:30:35Z,m__QS1MMHPo
Travis Japan【画伯爆誕】2025年をイラストで語れ！　#TravisJapan #トラジャ #振り返り #イラスト #思い出 #2025,Shorts,41.0,139609,12447,268,2026-02-06T12:00:56Z,WrPyTF71hOM
Travis Japan【大喜利】これは誰のボケ？　#TravisJapan #トラジャ #大喜利 #誰のボケ,Shorts,52.0,145993,11942,279,2026-01-30T12:00:59Z,VSmAkfvtaKI
Travis Japan【プライベートカラオケ】アルバム発売恒例企画🎤　#TravisJapan #トラジャ #カラオケ #stravelers,Shorts,50.0,206799,17386,664,2026-01-23T12:00:42Z,M8G6AAD9pR8
Travis Japan【桃鉄２】後編🎮　#TravisJapan #トラジャ #桃鉄 #東日本 #ゲーム,Shorts,53.0,167238,9491,269,2026-01-16T12:01:23Z,iRhAI6YeozA
Travis Japan【桃鉄２】前編🎮　#TravisJapan #トラジャ #桃鉄 #東日本 #ゲーム,Shorts,56.0,143486,12545,389,2026-01-09T12:00:24Z,81cCFIkEO_E
Travis Japan【全国プロモーション】「’s travelers」発売記念　#TravisJapan #トラジャ #stravelers #全国プロモーション,Shorts,57.0,158953,13207,326,2026-01-02T12:00:04Z,0CXns-aDjBI
2026🎉#七五三掛龍也 #Shime#吉澤閑也 #Shizu⁡#stravelers#DiscoBaby #TravisJapan,Shorts,38.0,156849,10967,168,2026-01-02T03:01:27Z,RlP-0PmXyRs
Happy New Year🥂⁡#stravelers#WelcomeToOurShowTonight#JustDanceTogether #TravisJapan,Shorts,37.0,191628,14640,211,2026-01-02T03:00:15Z,8li7PTrXefQ
Shimeカメラ📸 #Umi#Noel #TravisJapan #DiscoBaby,Shorts,42.0,150771,10374,157,2025-12-31T06:15:05Z,y7xHKUD43U0
#Shime撮影📹  #Chaka#Genta#Machu #WelcomeToOurShowTonight #TravisJapan,Shorts,38.0,180457,12418,176,2025-12-30T13:30:23Z,MbTujHVFOGI
🏆🎤 #DiscoBaby #stravelers #TravisJapan,Shorts,16.0,236325,13435,202,2025-12-30T11:01:45Z,uqKzPSnbJBg
Travis Japan【無音ダンス】「Disco Baby」で挑戦。過去回は概要欄に。　#TravisJapan #トラジャ #無音ダンス #DiscoBaby #stravelers,Shorts,40.0,176504,15598,558,2025-12-26T12:01:49Z,trOlPDLisE8
Merry Christmas🎅 #Shime #Shizu #TravisJapan #stravelers #SayIdo,Shorts,33.0,173038,12347,297,2025-12-25T10:02:19Z,pjOqR1ibUjg
Merry Christmas🪅 #Umi#Noel#Genta #TravisJapan #stravelers #SayIdo,Shorts,35.0,171778,12742,292,2025-12-25T10:01:44Z,ck62P8thVOE
Merry Christmas🎄#Chaka#Machu #TravisJapan #stravelers #SayIdo,Shorts,34.0,193727,13804,385,2025-12-25T10:01:08Z,ev8xmmNUfFs
Travis Japan【クリプレ交換会】過去回、概要欄にまとめてますのでぜひ。　#TravisJapan #トラジャ #クリスマス #クリプレ交換会 #100円ショップ,Shorts,52.0,186545,17044,737,2025-12-19T12:01:25Z,eS1gGUZRg0k
☺️ #松倉海斗 #Machu #TravisJapan #stravelers #Maybe,Shorts,13.0,118600,8639,206,2025-12-19T11:02:08Z,SSnixObMjGM
🫰 #松田元太 #Genta #TravisJapan #stravelers #Maybe,Shorts,13.0,133944,9129,194,2025-12-19T11:00:00Z,-NXh-2iObV4
✌️ #吉澤閑也 #Shizu #TravisJapan #stravelers #Maybe,Shorts,13.0,106681,7200,217,2025-12-18T12:10:07Z,gtkLXhWsMIA
😎 #川島如恵留 #Noel #TravisJapan #stravelers #Maybe,Shorts,13.0,115654,8389,246,2025-12-18T12:09:48Z,43iGBnTE_Ac
😘 #七五三掛龍也 #Shime #TravisJapan #stravelers #Maybe,Shorts,13.0,121990,8811,158,2025-12-17T11:01:53Z,hwi4nkM1mMY
😉 #中村海人 #Umi #TravisJapan #stravelers #Maybe,Shorts,13.0,149756,9697,250,2025-12-17T11:01:26Z,kOe2vF1p-Pc
🫶 #宮近海斗 #Chaka #TravisJapan #stravelers #Maybe,Shorts,13.0,138734,10461,255,2025-12-16T11:01:38Z,qSoWn_Vj5BA
Nice TJ!!✨#TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,15.0,169831,12722,170,2025-12-15T11:01:46Z,uSMW0mxKRaQ
TJ Showへようこそ✨#TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,34.0,210748,15638,350,2025-12-14T11:00:53Z,Uubo8Ame1IY
情報量多め😂#TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,25.0,173926,13599,238,2025-12-13T11:01:33Z,mBZTi1N2Et4
Travis Japan【予備校開催】問題を読むだけなのに！　#TravisJapan #トラジャ #クイズ #予備校,Shorts,52.0,130596,12081,387,2025-12-12T12:02:09Z,znpsgh9YRZQ
Welcome!!✨ #TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,40.0,128385,12272,219,2025-12-12T10:01:25Z,htF6j1YCToM
💛🤍❤️ #TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,38.0,156071,12089,408,2025-12-11T11:01:42Z,v-amRIbawpc
🧡💙💚🩷#TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,37.0,184285,13276,173,2025-12-10T11:01:12Z,_OS556v8SKU
💜#TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,39.0,124602,11171,192,2025-12-09T10:01:38Z,uvotqFSXnuE
🥳#TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,37.0,102555,9461,147,2025-12-08T10:01:31Z,pP0uk44AAb8
Dancing Travis Japan🪩 #TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,38.0,132870,8911,131,2025-12-08T10:00:12Z,7ZLM36V4jdk
So cute☺️#TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,19.0,111091,9209,147,2025-12-07T10:01:11Z,hVXqEVqmPv0
🚀#TravisJapan #stravelers #ストラベラーズ,Shorts,12.0,99296,8943,127,2025-12-07T10:00:48Z,UuS6rXqtytg
Behind-the-scenes📽️#TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,27.0,102053,9969,126,2025-12-07T10:00:35Z,IwgC-werR_c
🤍💚 #Noel #Umi #TravisJapan #stravelers #ストラベラーズ #DiscoBaby,Shorts,40.0,187193,10024,207,2025-12-07T09:01:13Z,geEFS0bqhiU
🩷❤️🧡 #Chaka #Shime #Machu #TravisJapan #stravelers #ストラベラーズ #DiscoBaby,Shorts,37.0,218131,14157,220,2025-12-06T09:19:47Z,s5EQ6VItPkQ
💛💙 #Shizu #Genta #TravisJapan #stravelers #ストラベラーズ #DiscoBaby,Shorts,40.0,131612,9715,189,2025-12-06T09:17:14Z,ot_PwcjWY1o
Travis Japan【日本事故物件監視協会 再び（早過ぎ）】うみ参戦！　#TravisJapan #トラジャ #事故物件 #ゲーム #ビビり,Shorts,47.0,140649,12178,356,2025-12-05T12:01:15Z,VjW3IMFhwzk
Happiness😎#TravisJapan #stravelers #ストラベラーズ #TeenageDream,Shorts,13.0,116091,9658,148,2025-12-04T10:01:43Z,uaMX-sLy74U
Summer memories🍖#TravisJapan #stravelers #ストラベラーズ #DiscoBaby,Shorts,28.0,151207,12470,355,2025-12-04T10:01:15Z,gfI1QuiBpUg
『’s travelers』本日は発売日！🪩#TravisJapan #stravelers #ストラベラーズ #DiscoBaby #WelcomeToOurShowTonight,Shorts,20.0,207963,12247,146,2025-12-03T12:01:57Z,reUVpXp289A
😂✨#TravisJapan #stravelers #ストラベラーズ #WelcomeToOurShowTonight,Shorts,24.0,568066,24094,462,2025-12-02T11:02:01Z,y6EnYPHNpeA
Welcome To Our Show Tonight!!CDTV、ありがとうございました！！#TravisJapan #stravelers #WelcomeToOurShowTonight,Shorts,36.0,420668,22445,444,2025-12-01T13:58:00Z,n_w4jaUzWBc
'Welcome To Our Show Tonight' Music Video is OUT NOW!!#TravisJapan #stravelers #ストラベラーズ,Shorts,36.0,166536,12756,178,2025-12-01T13:57:00Z,i9gPPzCxDSw
'Welcome To Our Show Tonight' Music Video is OUT NOW‼︎ #TravisJapan #stravelers #ストラベラーズ,Shorts,35.0,131562,10636,161,2025-12-01T13:56:00Z,RwdzDzhMYyo
'Welcome To Our Show Tonight' Music Video is OUT NOW‼︎ #TravisJapan #stravelers #ストラベラーズ,Shorts,17.0,127913,9569,111,2025-12-01T13:55:00Z,05pWCIuUlN8
ちょっと忙しかった松松🎶#TravisJapan #stravelers #ストラベラーズ #DiscoBaby,Shorts,21.0,1892383,32525,207,2025-11-29T03:00:45Z,_9zK5nN98NU
Travis Japan【mimi-ni】TJのPodcast番組がスタート！　#TravisJapan #トラジャ #mimini #podcast #千賀健永,Shorts,55.0,139295,12208,299,2025-11-28T12:01:30Z,e6ct_plN7e8
'Disco Baby' Dance Practice  Behind The Scenes🎥 #TravisJapan #DiscoBaby,Shorts,51.0,107288,8856,72,2025-11-28T10:30:24Z,cll8SEVU84g
'Disco Baby' Dance Practice!!🪩#TravisJapan #stravelers #ストラベラーズ #DiscoBaby,Shorts,46.0,166954,10882,119,2025-11-28T10:09:21Z,ydj3zhfN8tY
'Would You Like One?'  Dance Practice  Behind The Scenes🎥 #TravisJapan #WouldYouLikeOne,Shorts,48.0,149477,11239,130,2025-11-26T12:01:06Z,VzHTb_5j7ZU
じゃまた！😌🧡 #松倉海斗 #Machu #DiscoBaby #stravelers #TravisJapan,Shorts,17.0,127813,10246,281,2025-11-25T10:00:15Z,ACtGw1oqpSY
元太！🥳 #松田元太 #Genta #DiscoBaby #stravelers #TravisJapan,Shorts,17.0,207969,12172,230,2025-11-24T12:00:38Z,HzVXDlytmvY
いこういこう！😊 #吉澤閑也 #Shizu #DiscoBaby #stravelers #TravisJapan,Shorts,17.0,133458,9171,507,2025-11-23T11:01:28Z,o6cEIJJIFxA
急ぐよ！☺️ #川島如恵留 #Noel #DiscoBaby #stravelers #TravisJapan,Shorts,17.0,138449,10670,301,2025-11-22T10:01:24Z,oQXMgZICUsA
Travis Japan【祝31歳】川島如恵留 年表🤍　#TravisJapan #トラジャ #川島如恵留 #年表,Shorts,60.0,139932,12530,341,2025-11-21T12:01:39Z,kOxjbmo8-50
ちょっと照れてる？🤭#七五三掛龍也 #Shime #DiscoBaby #stravelers #TravisJapan,Shorts,17.0,128191,10089,166,2025-11-21T10:57:32Z,MOqtgrVa2nA
ちょ、ちょっと😆🫧 #中村海人 #Umi #DiscoBaby #stravelers #TravisJapan,Shorts,17.0,150013,11347,285,2025-11-20T10:30:46Z,vEHAICktG5M
放課後はどこに行く？😉 #宮近海斗 #Chaka #DiscoBaby #stravelers #TravisJapan,Shorts,17.0,167890,11814,303,2025-11-19T11:02:01Z,yBzn9qG1_I0
#Machu ver.🪩 #DiscoBaby solo dance #松倉海斗 #stravelers #TravisJapan,Shorts,36.0,141578,10371,288,2025-11-16T10:30:20Z,c-ApnH81QS8
