title,video_type,duration_sec,view_count,like_count,comment_count,published_at,video_id
Travis Japan【上海 後編】初めての上海でワクワク雑誌撮影＆お食事会🍖,Regular,806.0,221638,10861,1173,2025-08-09T12:01:06Z,YOdHHlloLVo
'Travis Japan Concert Tour 2025 VIIsual' Bonus Disc Trailer (Limited Edition),Regular,119.0,142508,8322,442,2025-08-07T10:30:04Z,8aT3Kpebpt0
Travis Japan【初上海】BilibiliWorld 2025のウラ側をばっちり密着📹 ～上海前編～,Regular,1058.0,263647,11008,737,2025-08-02T12:01:22Z,pKL-dig3cII
'Travis Japan Concert Tour 2025 VIIsual' Bonus Disc Trailer (Limited Press Edition),Regular,99.0,163638,9247,471,2025-07-31T12:01:24Z,ihnzSpMQGq0
Travis Japan【全員集合】のえるが帰って来たから新しいアー写を撮りました📷,Regular,609.0,216684,14433,1050,2025-07-26T12:01:21Z,hWcmquuNlyU
'T.G.I. Friday Night' (From ‘Travis Japan Concert Tour 2025 VIIsual’ Disc1),Regular,153.0,357347,13152,766,2025-07-25T11:01:21Z,lz12EIbB8t4
Travis Japan - World of Dance Finals 2025 Performance Highlight,Regular,337.0,225158,12778,997,2025-07-24T13:32:41Z,eh9QdpwzeTA
Travis Japan【レシピ】4歳からできるカードゲームで激熱🍳料理対決!?,Regular,1305.0,469001,14086,1274,2025-07-19T12:01:15Z,gfMmaeBnLcU
'Travis Japan Concert Tour 2025 VIIsual' Disc1 Short Teaser,Regular,62.0,183589,9439,374,2025-07-18T10:00:38Z,IPoZI0ZxWic
Travis Japan【また渋谷ランチ】今回はハンバーガー🍔しめサプライズあり🩷,Regular,931.0,409490,13022,1092,2025-07-12T12:01:26Z,oEOMC2fkTek
Travis Japan【しめベガス】祝30歳！七五三掛龍也のポテンシャルを探る！,Regular,1588.0,477222,14734,1531,2025-07-05T12:01:44Z,tbb-PxwdixM
Travis Japan【渋谷ランチ】思い出のハンバーグ店でエモトーク🍽️,Regular,891.0,313802,11335,906,2025-06-28T12:00:22Z,DFb-s8Mqs4k
Travis Japan【アタック25】のえるに負けるもんか！本格クイズでガチ勝負🔥,Regular,2018.0,424409,13288,1243,2025-06-21T12:01:48Z,ygn7kb_QNEc
Travis Japan【ワンナイト人狼】第５弾🐺🌕静岡で再びダマしダマされの心理戦開幕！！,Regular,898.0,307165,11202,900,2025-06-14T12:00:11Z,3NTgppglAFM
Travis Japan【おかえり】川島如恵留クイズ😺のえるのイイとこ全部あげてこ🤍,Regular,1538.0,806626,26910,2802,2025-06-07T12:00:30Z,LYqcEVLZkLk
Travis Japan【ファンコール講座】｢JUST DANCE!｣｢Would You Like One?｣,Regular,1025.0,292170,12949,924,2025-05-31T03:00:42Z,YI0pA1nDX_0
Travis Japan【マリオカート】笑いあり涙ありのガチバトル！TJ最速王は誰だ!?,Regular,1360.0,471840,14570,1399,2025-05-24T12:00:31Z,DOaGYqym8mo
