video_id,title,video_type,duration_sec,view_count,like_count,comment_count,published_at,jp_ratio,en_ratio,other_ratio,overseas_total_ratio
4aoi1BFLkjw,【JUST!シン日本遺産】シーズン２　# ４をちら見せ「デカいもの大好き！茨城が誇る日本一大きな頭」続きはTELASAで,Regular,740.0,54697,4069,217,2025-10-29T23:00:12Z,0.9897959183673469,0.0,0.01020408163265306,0.01020408163265306
S2z8USvWn1Q,Travis Japan – 'Disco Baby' Music Video,Regular,267.0,5836268,43625,25134,2025-10-27T09:00:07Z,0.96,0.03,0.01,0.04
0NZsECp94Sk,Travis Japan【スペシャル対談】Hey! Say! JUMP有岡くん×宮近📢JUMP兄さんの新曲｢GHOST｣振付裏話や15年前の出会いとか。,Regular,1324.0,266344,16842,967,2025-10-25T12:00:03Z,0.98989898989899,0.010101010101010102,0.0,0.010101010101010102
fei5ITyLyWY,【JUST!シン日本遺産】シーズン２　# ３をちら見せ「太古の時代を大冒険！ジュラシック系宝探しテーマパーク」続きはTELASAで,Regular,736.0,49917,3795,135,2025-10-22T23:00:58Z,0.99,0.01,0.0,0.01
kOJNYMAnJBY,Travis Japan【大食い】二郎系ラーメンで大食いの神様も限界!?新たな刺客…,Regular,1140.0,917000,19860,1658,2025-10-18T12:01:32Z,0.9897959183673469,0.0,0.01020408163265306,0.01020408163265306
CNzdSRyW5Ww,【JUST!シン日本遺産】シーズン２　# 2 をちら見せ「背中にライドオン！新感覚マリンアクティビティ」続きはTELASAで,Regular,715.0,65745,4559,223,2025-10-15T23:00:14Z,0.98,0.0,0.02,0.02
ncKCXx-IS3Y,Travis Japan【香港ディズニーランド】香港密着特別編！プライベートです。,Regular,691.0,377409,13586,1257,2025-10-11T12:01:27Z,0.99,0.0,0.01,0.01
Zn2u2ke1ZYM,【JUST!シン日本遺産】シーズン２　# １をちら見せ「男を磨く！沖縄が世界に誇るサンチン」続きはTELASAで,Regular,648.0,100387,6366,310,2025-10-08T23:00:41Z,0.99,0.0,0.01,0.01
4-K_hSnTCmc,Travis Japan【香港公演】Vllsualワールドツアー裏側密着！香港でも盛り上がっちゃっていいですか!?,Regular,678.0,167113,9360,561,2025-10-04T12:00:09Z,0.898989898989899,0.06060606060606061,0.04040404040404041,0.10101010101010102
Pu1TgUUcyC8,Travis Japan【台北公演】Vllsualワールドツアー裏側密着！ファミクラストアにも行ってきたよ～,Regular,925.0,307920,11862,665,2025-09-27T12:00:57Z,0.9292929292929293,0.010101010101010102,0.060606060606060615,0.07070707070707072
bPpTYOjWkEc,Travis Japan【アタック25 再び】打倒のえる！6対1でリベンジなるか…,Regular,1936.0,537699,15968,1525,2025-09-20T12:01:09Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
feUx2t01UrA,Travis Japan Concert Tour 2025 Vllsual 発売まで あと３日！発売直前スペシャル生配信,Regular,3954.0,289958,0,797,2025-09-14T12:26:58Z,0.9595959595959596,0.030303030303030304,0.010101010101010102,0.04040404040404041
Xsn1F9-MQcQ,Travis Japan【足音ダンス 第2弾】あのダンス企画再び！感動を届けることができるのか！？,Regular,1570.0,1243026,29049,2953,2025-09-06T12:01:06Z,0.99,0.0,0.01,0.01
R6pn31K0Pdc,'Rush' (From 'Travis Japan Concert Tour 2025 VIIsual' Limited Press Edition Disc2),Regular,176.0,719901,22585,3293,2025-09-01T13:00:49Z,1.0,0.0,0.0,0.0
rIJzp6v6PHc,Travis Japan【マリオカート ワールド】遂に全員対決！TJ最速王決定戦🏁,Regular,1627.0,536506,15279,1798,2025-08-30T12:01:37Z,0.99,0.01,0.0,0.01
289avroWgSY,Travis Japan【京本会】SixTONES京本くんのダンスを作った本気の2日間,Regular,1265.0,783402,35966,2526,2025-08-23T12:00:07Z,1.0,0.0,0.0,0.0
0V4yA4RZjic,'BO$$Y' (From 'Travis Japan Concert Tour 2025 VIIsual' Disc1),Regular,215.0,559628,18162,1908,2025-08-18T10:00:02Z,0.98,0.01,0.01,0.02
BlnsEpf9NxI,Travis Japan【祝30歳】吉澤閑也の人生を年表でとことん深掘り💛,Regular,1467.0,520504,15465,1525,2025-08-16T12:00:18Z,0.9797979797979798,0.010101010101010102,0.010101010101010102,0.020202020202020204
