title,published_at,view_count,like_count,comment_count,video_id
'陰ニモ日向ニモ' Solo Dance #Machu ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #松倉海斗,2026-02-26T12:01:14Z,440942,19422,586,iwQn7pXttuA
【JUST!シン日本遺産】シーズン２　# 20をちら見せ「高知県馬路村名物“ゆず”を使ったシンゆず料理を開発！！」続きはTELASAで,2026-02-25T23:00:01Z,50337,3494,300,07Upu4UYQbQ
'陰ニモ日向ニモ' Solo Dance #Genta ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #松田元太,2026-02-25T12:01:26Z,431529,16469,379,lnm2ZIhmFes
#12 のえさんとカーニバル師匠♪,2026-02-25T09:23:00Z,22686,1938,64,c1SjDte71ic
'陰ニモ日向ニモ' Solo Dance #Shizu ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #吉澤閑也,2026-02-24T11:01:17Z,366544,14425,698,hrScpeQPjSA
'陰ニモ日向ニモ' Solo Dance #Noel ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #川島如恵留,2026-02-23T11:00:16Z,307186,14656,447,Dz2F7o5Xx18
'陰ニモ日向ニモ' Solo Dance #Shime ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #七五三掛龍也,2026-02-21T13:00:46Z,435335,17860,444,RUgAPz1Z_Vk
Travis Japan【ランキング】メンバーの順位を決めてから内容を考えたら酷いランキングになった!?,2026-02-21T12:00:21Z,527989,17653,1800,BmrvhIHCAHA
Travis Japan【ランキング】順位を決めてから何のランキングか考えてみた。,2026-02-20T12:01:06Z,198088,13947,363,e0g0_YEv3KQ
'陰ニモ日向ニモ' Solo Dance #Umi ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #中村海人,2026-02-20T11:01:32Z,417615,18437,613,opCiyrY02fc
'陰ニモ日向ニモ' Solo Dance #Chaka ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #宮近海斗,2026-02-19T10:00:47Z,455670,21341,828,VkUsNus4S2Y
【JUST!シン日本遺産】シーズン２　# 19をちら見せ「 “どさんこ”に乗り英雄になるべく向かった先で体験するのはあの伝統武芸！」続きはTELASAで,2026-02-18T23:01:15Z,35688,3143,170,yjkTBFVA7pQ
'陰ニモ日向ニモ' Solo Dance⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ,2026-02-18T10:14:11Z,328825,19106,589,n2xDi0sbJ5w
#11 Wカイトが呼び合う時は！？,2026-02-18T09:24:01Z,40251,2655,74,G2pW_c69dZM
'陰ニモ日向ニモ'🖤🤍#TravisJapan #陰ニモ日向ニモ #ニモニモ,2026-02-17T11:00:37Z,665943,29622,766,O9cof2OE4kE
「陰ニモ日向ニモ」MV is OUT NOW!! #TravisJapan #陰ニモ日向ニモ #ニモニモ,2026-02-17T08:02:00Z,246642,16739,254,RAcWn6u1pxw
「陰ニモ日向ニモ」MV is OUT NOW!! #TravisJapan #陰ニモ日向ニモ #ニモニモ,2026-02-17T08:01:18Z,223417,16055,209,zzxBlTw3s-c
「陰ニモ日向ニモ」MV is OUT NOW!! #TravisJapan #陰ニモ日向ニモ #ニモニモ,2026-02-17T08:01:17Z,171422,12629,208,NUE0b1kD2d0
